sampleID,total.reads,depth
TARA_X000000408,415340,DCM
TARA_X000000323,92418,SUR
TARA_A200000158,79388,DCM
TARA_A200000123,144351,SUR
TARA_X000001040,178547,DCM
TARA_X000000954,159259,SUR
TARA_X000001288,66606,SUR
TARA_A100000035,234011,DCM
TARA_A100000032,198633,SUR
TARA_A100000604,82521,DCM
TARA_A100000595,144883,SUR
TARA_A100000758,166741,SUR
TARA_A100000698,78269,DCM
TARA_A100000534,51876,SUR
TARA_A100000559,124300,DCM
TARA_A100000551,229080,SUR
TARA_A100000396,89317,DCM
TARA_A100000393,151814,SUR
TARA_A100001333,77091,DCM
TARA_A100001640,60180,SUR
TARA_A100001145,70389,DCM
TARA_A100001141,58208,SUR
TARA_N000000323,29993,DCM
TARA_N000000327,30768,SUR
TARA_N000000317,158747,DCM
TARA_N000000316,104638,SUR
TARA_N000000030,83649,DCM
TARA_N000000029,163862,SUR
TARA_N000000072,147647,DCM
TARA_N000000071,89267,SUR
TARA_N000000086,305084,DCM
TARA_N000000085,161453,SUR
TARA_N000000255,125497,SUR
TARA_N000000600,159231,DCM
TARA_N000000598,169685,SUR
TARA_N000000524,128650,DCM
TARA_N000000522,95650,SUR
TARA_N000000961,195595,DCM
TARA_N000000959,47681,SUR
TARA_N000000807,72256,DCM
TARA_N000000805,271254,SUR
TARA_N000000756,156394,SUR
TARA_N000000722,329551,SUR
TARA_N000000678,218468,SUR
TARA_N000000833,89334,DCM
TARA_N000000831,183880,SUR
TARA_N000000860,91280,DCM
TARA_N000000855,187490,SUR
TARA_N000000622,135196,DCM
TARA_N000000620,346778,SUR
TARA_N000001388,47768,DCM
TARA_N000001386,392290,SUR
TARA_N000001438,353370,SUR
TARA_N000001030,398357,DCM
TARA_N000001028,607528,SUR
TARA_N000001588,6157,DCM
TARA_N000001574,68751,SUR
TARA_N000001610,123352,DCM
TARA_N000001608,57170,SUR
TARA_N000001652,236762,DCM
TARA_N000001650,133888,SUR
TARA_N000001732,8619,DCM
TARA_N000001730,142332,SUR
TARA_N000001816,69583,DCM
TARA_N000001812,102477,SUR
TARA_N000001948,85568,DCM
TARA_N000001938,175736,SUR
TARA_N000002000,27639,DCM
TARA_N000001992,226585,SUR
TARA_N000002063,55930,DCM
TARA_N000002037,107309,SUR
TARA_N000002081,6001,DCM
TARA_N000002019,142998,SUR
